passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
2005-01-09T00:00:00Z,07:55:00,up,rbt,127,4.1,520.7,a,1,f,no,good,p,good,poor,tb,trap,NA
2005-10-15T00:00:00Z,14:28:00,up,rbt,102,4.8,489.6,a,1,f,no,good,p,poor,good,NA,vaki,NA
2006-09-24T00:00:00Z,07:38:00,up,rbt,80,4.2,336,j,1,unk,no,good,vl,poor,fair,or,vaki,NA
2006-10-11T00:00:00Z,13:08:00,up,rbt,90,4.2,378,j,1,f,yes,good,p,good,good,NA,vaki,NA
2006-10-25T00:00:00Z,12:39:00,up,rbt,127,4.2,533.4,a,1,unk,no,good,p,poor,good,NA,vaki,NA
2006-10-30T00:00:00Z,12:51:00,up,rbt,123,4.2,516.6,a,1,f,no,good,p,good,good,NA,vaki,NA
2006-11-05T00:00:00Z,22:03:00,up,rbt,90,4.2,378,j,1,unk,no,good,p,good,good,NA,vaki,NA
2006-11-13T00:00:00Z,07:33:00,up,rbt,105,4.2,441,a,1,unk,no,good,vl,poor,fair,or,vaki,NA
2006-12-27T00:00:00Z,11:47:00,up,rbt,120,4.2,504,a,1,unk,NA,good,vl,poor,fair,tb,vaki,NA
2007-01-28T00:00:00Z,05:51:00,up,rbt,115,4.2,483,a,1,unk,NA,good,vl,poor,fair,or,vaki,NA
2007-02-17T00:00:00Z,18:28:00,up,rbt,132,4.2,554.4,a,1,f,no,good,p,good,good,NA,vaki,NA
2007-02-25T00:00:00Z,16:06:00,up,rbt,127,4.2,533.4,a,1,f,no,good,p,good,good,NA,vaki,NA
2007-03-01T00:00:00Z,18:12:00,up,rbt,115,4.2,483,a,1,f,no,good,p,good,fair,or,vaki,NA
2007-06-15T00:00:00Z,23:04:00,up,rbt,75,4.2,315,j,1,unk,no,good,p,poor,good,NA,vaki,NA
2007-10-18T00:00:00Z,11:06:00,up,rbt,77,5.07,390,j,1,unk,no,good,p,good,good,no,vaki,NA
2007-10-30T00:00:00Z,20:44:00,up,rbt,69,5.07,350,j,1,unk,no,good,p,poor,good,no,vaki,NA
2008-10-14T00:00:00Z,19:04:00,up,rbt,102,5.07,517.14,a,1,unk,NA,good,vl,good,good,no,vaki,NA
2008-10-25T00:00:00Z,00:33:00,up,rbt,78,5.07,395.46,j,1,unk,yes,good,p,fair,good,no,trap,NA
