station,sample_date,sample_time,water_temperature,number_of_submerged_panels,reset_restart_comp,weather,stream_gauge,turbidity,battery_voltage,dissolved_oxygen,velocity_upstream,velocity_downstream,conductivity,solar_voltage,fyke_closed,fyke_open,downstream_livebox_installed,vaki,barrels,crew_initials,comments1,trap_closed,trap_open,trapping
st031x,2021-09-08,NA,NA,0,08:15:00,clr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gj; mk,weir installed,NA,NA,no
st031x,2021-09-09,09:00:00,64.8,0,09:15:00,clr,2.1,1.71,NA,8.89,3.2,1.3,53,NA,09:05:00,09:15:00,yes,yes,no,rb; mi,NA,NA,NA,no
st031x,2021-09-10,09:30:00,64.3,0,09:45:00,cld,2.14,1.75,NA,9.02,3.4,1.3,52.3,NA,09:30:00,09:45:00,yes,yes,no,rb; mi,NA,NA,NA,no
st031x,2021-09-13,08:45:00,62.9,2,10:02:00,clr,2.14,1.73,NA,8.59,4.5,0.4,55.5,NA,08:48:00,08:55:00,yes,yes,no,tl; mi,added 1 barrel at corner of weir. backup cameras ok. two turtles in downstream trap.,NA,NA,no
st031x,2021-09-15,09:00:00,63.8,0,NA,clr,2.06,1.78,NA,8.75,3.5,1.7,53.8,NA,08:53:00,09:45:00,yes,no,no,bs; ch,could not connect vaki. low panel near fish passage might need a barrel.,NA,NA,no
st031x,2021-09-17,09:00:00,62.1,2,08:57:00,clr,2.08,2.31,NA,8.64,2.3,0.4,58.4,NA,08:51:00,09:00:00,yes,yes,no,tl; ch,NA,NA,NA,no
st031x,2021-09-20,10:15:00,64.2,0,10:23:00,clr,2.05,1.5,NA,NA,2.3,1.5,58.3,NA,10:18:00,10:24:00,yes,yes,no,gj; bs,boat passage needs replaced. do meter not working,NA,NA,no
st031x,2021-09-22,09:00:00,63.2,0,09:27:00,clr,1.97,4.32,28.05,9.05,2.7,1.1,61.4,7.7,08:51:00,09:28:00,yes,yes,no,bs; ih,NA,NA,NA,no
st031x,2021-09-24,08:45:00,64.4,0,08:55:00,clr,2,2,26.37,8.59,2.7,1.3,62.1,4.9,08:50:00,08:56:00,yes,yes,no,bs; ih,pit tag ok; back up ok.,NA,NA,no
st031x,2021-09-27,09:00:00,62.1,1,08:57:00,clr,1.92,0.88,26/11.6,8.75,3.1,0.4,62.7,4.6/1.8,08:50:00,09:00:00,yes,yes,no,tl; ch,added 1 barrel where spilling. back up cameras ok. pit tag readers- charge light reset.,NA,NA,no
